Unique_id,District,Location,Lat,Long,Type
KL-KEL-KMVD-50-AICS-01-1,Thiruvananthapuram,Parassala,8.3150151,77.1287226,AI Camera
KL-KEL-KMVD-50-AICS-01-2,Thiruvananthapuram,Pambukala,8.3254417,77.0641614,AI Camera
KL-KEL-KMVD-50-AICS-01-3,Thiruvananthapuram,Kovalam Jn,8.399849392,76.98087696,AI Camera
KL-KEL-KMVD-50-AICS-01-4,Thiruvananthapuram,Neyyattinkara_2,8.4078907,77.0794932,AI Camera
KL-KEL-KMVD-50-AICS-01-5,Thiruvananthapuram,Neyyattinkara_1,8.4080435,77.0792108,AI Camera
KL-KEL-KMVD-50-AICS-01-6,Thiruvananthapuram,Thozhukkal,8.4167193,77.0803191,AI Camera
KL-KEL-KMVD-50-AICS-01-7,Thiruvananthapuram,Balaramapuram_1,8.4263583,77.038985,AI Camera
KL-KEL-KMVD-50-AICS-01-8,Thiruvananthapuram,Balaramapuram_2,8.427158591,77.03957643,AI Camera
KL-KEL-KMVD-50-AICS-01-9,Thiruvananthapuram,Pallichal Jn,8.443115896,77.01732215,AI Camera
KL-KEL-KMVD-50-AICS-01-10,Thiruvananthapuram,Thiruvallom,8.4431921,76.9524799,AI Camera
KL-KEL-KMVD-50-AICS-01-11,Thiruvananthapuram,Kumarichantha,8.45163636,76.9470077,AI Camera
KL-KEL-KMVD-50-AICS-01-12,Thiruvananthapuram,Vellayani Jn,8.4590336,76.9973992,AI Camera
KL-KEL-KMVD-50-AICS-01-13,Thiruvananthapuram,Vellayani Jn_2,8.459099405,76.99749157,AI Camera
KL-KEL-KMVD-50-AICS-01-14,Thiruvananthapuram,Manacaud Jn,8.4719437,76.9481288,AI Camera
KL-KEL-KMVD-50-AICS-01-15,Thiruvananthapuram,Eenjakkal_1,8.480571432,76.93514396,AI Camera
KL-KEL-KMVD-50-AICS-01-16,Thiruvananthapuram,Eenjakkal_2,8.480781673,76.93591442,AI Camera
KL-KEL-KMVD-50-AICS-01-17,Thiruvananthapuram,"Killipalam, near PRS hopspital",8.481339441,76.9595876,AI Camera
KL-KEL-KMVD-50-AICS-01-18,Thiruvananthapuram,Killipalam,8.481502261,76.95821229,AI Camera
KL-KEL-KMVD-50-AICS-01-19,Thiruvananthapuram,Power house road,8.484994424,76.95298903,AI Camera
KL-KEL-KMVD-50-AICS-01-20,Thiruvananthapuram,East fort stretch,8.48596404,76.94781505,AI Camera
KL-KEL-KMVD-50-AICS-01-21,Thiruvananthapuram,Thambanoor,8.4870139,76.9521384,AI Camera
KL-KEL-KMVD-50-AICS-01-22,Thiruvananthapuram,Malayinkeezh,8.4875062,77.0364776,AI Camera
KL-KEL-KMVD-50-AICS-01-23,Thiruvananthapuram,Kaithamukk,8.489562938,76.94019489,AI Camera
KL-KEL-KMVD-50-PVDS-01-24,Thiruvananthapuram,MG Road,8.490216194,76.9473004,PVDS
KL-KEL-KMVD-50-AICS-01-25,Thiruvananthapuram,Poojapura,8.4910375,76.9738924,AI Camera
KL-KEL-KMVD-50-AICS-01-26,Thiruvananthapuram,All saints,8.494618515,76.9098068,AI Camera
KL-KEL-KMVD-50-AICS-01-27,Thiruvananthapuram,All saints_2,8.494954755,76.90943129,AI Camera
KL-KEL-KMVD-50-AICS-01-28,Thiruvananthapuram,Pettah,8.49520478,76.92757811,AI Camera
